city,AKP,CHP,MHP,HDP,others,turnout,registered,voted,valid,region
Niğde,57.12,20.29,18.49,1.19,0.76,86.0,235296.0,202460.0,198950.0,İç Anadolu
Ordu,63.06,24.28,9.36,0.9,0.72,83.7,545751.0,456990.0,449390.0,Karadeniz
Osmaniye,46.73,13.6,33.69,3.08,0.86,85.3,346977.0,295900.0,291723.0,Akdeniz
Rize,75.35,14.91,5.41,1.04,1.46,84.3,248768.0,209803.0,207090.0,Karadeniz
Sakarya,67.23,15.41,12.1,2.12,1.31,89.8,685062.0,614846.0,606573.0,Marmara
Samsun,63.5,20.31,12.34,1.11,0.91,86.8,946123.0,821251.0,809624.0,Karadeniz
Siirt,37.21,2.04,1.65,57.2,0.53,85.7,172855.0,148182.0,144022.0,Güneydoğu
Sinop,56.27,29.4,8.65,1.28,0.88,84.7,158220.0,134019.0,131059.0,Karadeniz
Sivas,68.24,14.81,11.71,1.38,2.06,87.3,445999.0,389138.0,384267.0,Doğu Anadolu
Şanlıurfa,64.32,3.07,2.86,28.18,0.41,84.0,1000116.0,840532.0,825903.0,Güneydoğu
Şırnak,12.33,1.48,1.4,83.63,0.29,90.2,249533.0,225174.0,220210.0,Güneydoğu
Tekirdağ,37.65,44.89,10.17,4.72,0.49,88.3,689633.0,608796.0,601632.0,Marmara
Tokat,59.46,22.04,14.66,1.19,0.91,88.0,421508.0,371110.0,366062.0,Karadeniz
Trabzon,66.44,16.37,12.9,0.99,1.39,85.5,574128.0,491144.0,484770.0,Karadeniz
Tunceli,12.89,27.92,2.71,54.85,0.44,81.0,63985.0,51844.0,51289.0,Doğu Anadolu
Uşak,46.83,30.02,17.88,2.2,0.73,90.3,263958.0,238307.0,233863.0,Ege
Van,30.74,1.87,1.3,64.26,0.47,81.4,613586.0,499550.0,487324.0,Doğu Anadolu
Yalova,49.2,31.27,9.82,6.69,0.84,84.8,172046.0,145936.0,144018.0,Marmara
Yozgat,64.6,7.53,12.35,0.97,11.47,83.9,302371.0,253635.0,249854.0,İç Anadolu
Zonguldak,49.54,35.88,9.46,1.25,1.38,86.3,456563.0,394146.0,385722.0,Karadeniz
