city,AKP,CHP,MHP,HDP,others,turnout,registered,voted,valid,region
Mardin,19.91,1.35,1.29,72.06,4.12,87.2,441384.0,385065.0,386747.0,Güneydoğu
Mersin,26.42,28.68,24.46,17.91,1.04,86.6,1211380.0,1048619.0,1054422.0,Akdeniz
Muğla,26.93,45.12,18.67,5.45,0.85,86.1,666076.0,573386.0,575598.0,Ege
Muş,24.86,1.46,2.03,70.18,0.79,88.8,226766.0,201329.0,197762.0,Güneydoğu
Nevşehir,52.4,14.98,27.3,1.82,1.8,87.1,203235.0,177093.0,177129.0,İç Anadolu
Niğde,47.9,21.29,25.21,1.63,2.36,85.0,234456.0,199229.0,194698.0,İç Anadolu
Ordu,52.93,28.24,12.84,1.26,2.31,80.7,530965.0,428544.0,427036.0,Karadeniz
Osmaniye,39.1,13.42,40.36,4.21,1.35,84.7,336631.0,285178.0,286386.0,Akdeniz
Rize,66.38,18.85,8.1,1.57,3.42,82.3,243382.0,200350.0,201007.0,Karadeniz
Sakarya,56.5,15.9,19.2,2.98,3.87,88.0,663197.0,583515.0,585136.0,Marmara
Samsun,52.88,23.0,17.67,1.61,2.84,84.1,917806.0,772059.0,772336.0,Karadeniz
Siirt,28.71,1.58,2.54,64.73,1.05,86.6,168962.0,146387.0,145501.0,Güneydoğu
Sinop,47.54,28.4,16.78,1.67,1.82,84.5,154264.0,130304.0,129470.0,Karadeniz
Sivas,57.51,15.0,18.0,1.79,6.21,86.2,436714.0,376654.0,377488.0,Doğu Anadolu
Şanlıurfa,46.78,4.39,5.65,38.08,3.14,80.2,974962.0,781449.0,781001.0,Güneydoğu
Şırnak,9.71,1.32,2.57,83.85,1.25,92.0,243304.0,223945.0,225459.0,Güneydoğu
Tekirdağ,31.59,43.87,15.03,5.87,1.37,87.4,662840.0,579494.0,582520.0,Marmara
Tokat,51.58,20.75,21.69,1.7,2.89,85.8,415918.0,356841.0,357815.0,Karadeniz
Trabzon,55.29,17.01,20.75,1.32,3.55,83.5,559231.0,466853.0,467857.0,Karadeniz
Tunceli,11.52,20.51,5.99,60.02,0.74,84.4,63624.0,53711.0,54198.0,Doğu Anadolu
Uşak,38.29,28.1,27.44,2.79,1.8,90.4,257134.0,232374.0,232508.0,Ege
Van,20.07,1.35,2.85,73.58,0.69,84.4,597502.0,504243.0,503952.0,Doğu Anadolu
Yalova,39.73,28.84,19.22,8.57,1.95,84.4,166092.0,140138.0,140833.0,Marmara
Yozgat,58.12,9.2,27.48,1.39,2.5,81.6,300324.0,244993.0,245540.0,İç Anadolu
Zonguldak,38.26,38.52,16.25,1.61,3.21,86.1,447693.0,385418.0,383294.0,Karadeniz
